trip_id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id,dropoff_location_id,fare_amount,tip_amount,total_amount,payment_type
1,1,2025-06-30 02:25:00,2025-06-30 02:34:00,3,4.86,11,12,14.49,0.0,14.79,2
2,1,2025-06-02 10:42:00,2025-06-02 10:45:00,3,3.46,9,10,10.5,0.0,10.8,1
3,1,2025-06-30 13:50:00,2025-06-30 14:36:00,4,1.78,13,13,7.67,0.0,7.97,2
4,2,2025-06-16 11:38:00,2025-06-16 11:57:00,1,2.79,2,2,9.16,0.92,10.38,1
5,1,2025-06-16 15:41:00,2025-06-16 16:21:00,3,3.14,15,7,11.14,0.0,11.44,1
6,1,2025-06-29 14:38:00,2025-06-29 15:19:00,1,3.82,10,4,14.96,1.5,16.76,3
7,2,2025-06-11 08:55:00,2025-06-11 09:46:00,4,2.99,7,5,9.91,0.0,10.21,4
8,1,2025-06-17 14:29:00,2025-06-17 14:41:00,3,4.03,11,5,13.16,0.0,13.46,3
9,2,2025-06-08 18:55:00,2025-06-08 19:31:00,1,3.04,4,11,10.57,2.11,12.98,1
10,2,2025-06-02 11:03:00,2025-06-02 11:56:00,1,1.96,2,4,7.55,0.76,8.61,3
11,2,2025-06-23 17:17:00,2025-06-23 17:44:00,4,5.46,4,12,15.45,0.0,15.75,2
12,2,2025-06-20 11:57:00,2025-06-20 12:36:00,1,1.2,3,9,5.72,0.0,6.02,4
13,2,2025-06-03 03:27:00,2025-06-03 03:36:00,3,3.91,2,7,14.29,2.86,17.45,2
14,1,2025-06-25 01:56:00,2025-06-25 02:14:00,4,4.22,11,12,16.7,0.0,17.0,2
15,2,2025-06-13 03:26:00,2025-06-13 04:17:00,3,2.55,1,12,9.44,1.42,11.16,4
16,1,2025-06-09 03:08:00,2025-06-09 03:42:00,1,2.41,14,11,10.44,1.04,11.78,1
17,1,2025-06-08 08:27:00,2025-06-08 09:03:00,1,7.75,6,8,28.09,5.62,34.01,1
18,2,2025-06-14 23:53:00,2025-06-15 00:10:00,1,1.83,2,2,6.65,1.33,8.28,4
19,2,2025-06-25 05:51:00,2025-06-25 06:42:00,1,5.37,5,9,20.42,0.0,20.72,2
20,2,2025-06-10 03:42:00,2025-06-10 04:29:00,1,5.39,8,15,16.37,1.64,18.31,1
21,1,2025-06-11 05:25:00,2025-06-11 05:31:00,1,1.73,1,2,6.78,0.0,7.08,1
22,2,2025-06-02 10:18:00,2025-06-02 10:41:00,1,5.58,5,11,15.25,0.0,15.55,2
23,1,2025-06-07 00:31:00,2025-06-07 01:19:00,1,5.71,13,7,18.3,2.75,21.35,1
24,1,2025-06-30 23:47:00,2025-07-01 00:16:00,4,2.12,8,14,8.07,1.21,9.58,3
25,1,2025-06-30 09:48:00,2025-06-30 09:56:00,3,6.35,4,4,22.57,0.0,22.87,2
26,1,2025-06-07 09:06:00,2025-06-07 09:35:00,2,4.46,4,14,13.29,1.99,15.58,4
27,1,2025-06-26 01:06:00,2025-06-26 01:14:00,1,10.79,15,13,37.06,0.0,37.36,2
28,1,2025-06-23 02:26:00,2025-06-23 02:58:00,2,5.7,15,1,16.5,2.48,19.28,1
29,2,2025-06-18 18:26:00,2025-06-18 18:44:00,1,6.5,11,12,19.02,3.8,23.12,1
30,1,2025-06-14 12:05:00,2025-06-14 12:20:00,4,1.56,12,9,7.75,1.55,9.6,1
31,1,2025-06-03 14:26:00,2025-06-03 14:31:00,1,1.06,1,9,5.92,0.0,6.22,1
32,1,2025-06-28 01:56:00,2025-06-28 02:02:00,3,1.95,7,2,8.37,0.0,8.67,2
33,1,2025-06-02 19:24:00,2025-06-02 20:05:00,4,5.87,15,5,19.4,1.94,21.64,3
34,2,2025-06-15 07:10:00,2025-06-15 07:27:00,2,4.71,11,11,14.36,0.0,14.66,1
35,2,2025-06-04 07:14:00,2025-06-04 07:16:00,1,0.2,9,4,3.18,0.0,3.48,1
36,2,2025-06-04 03:08:00,2025-06-04 03:25:00,3,5.16,8,14,16.14,0.0,16.44,4
37,2,2025-06-30 18:18:00,2025-06-30 18:53:00,1,7.07,15,3,20.59,0.0,20.89,1
38,2,2025-06-26 04:16:00,2025-06-26 04:27:00,1,3.39,4,12,11.07,2.21,13.58,3
39,2,2025-06-29 20:45:00,2025-06-29 21:03:00,1,1.6,2,11,7.76,0.0,8.06,1
